Datetime,Close
2023-07-14 01:00:00+00:00,32404.44921875
2023-07-14 02:00:00+00:00,32156.266700203858
2023-07-14 03:00:00+00:00,32257.43896971756
2023-07-14 04:00:00+00:00,32433.38798366515
2023-07-14 05:00:00+00:00,32541.671943829635
2023-07-14 06:00:00+00:00,32094.779692337353
2023-07-18 00:00:00+00:00,32209.378909601714
2023-07-18 01:00:00+00:00,32159.39003738927
2023-07-18 02:00:00+00:00,32178.079389054736
2023-07-18 03:00:00+00:00,32237.395190046627
2023-07-18 04:00:00+00:00,32137.704127611072
2023-07-18 05:00:00+00:00,32052.93666350553
2023-07-18 06:00:00+00:00,32080.590355978362
2023-07-19 00:00:00+00:00,32089.23773160177
2023-07-19 01:00:00+00:00,32009.209332638904
2023-07-19 02:00:00+00:00,31838.31636826654
2023-07-19 03:00:00+00:00,31825.39923580097
2023-07-19 04:00:00+00:00,31725.428028710994
2023-07-19 05:00:00+00:00,31715.95094244246
2023-07-19 06:00:00+00:00,31541.208038573932
2023-07-20 00:00:00+00:00,31230.844036151237
2023-07-20 01:00:00+00:00,31120.870503661794
2023-07-20 02:00:00+00:00,31362.65307381322
2023-07-20 03:00:00+00:00,31356.93794007828
2023-07-20 04:00:00+00:00,31186.149569907957
2023-07-20 05:00:00+00:00,30955.29304056101
2023-07-20 06:00:00+00:00,30780.30137035185
2023-07-21 00:00:00+00:00,30882.78661958738
2023-07-21 01:00:00+00:00,31392.872553168236
2023-07-21 02:00:00+00:00,31174.124265549654
2023-07-21 03:00:00+00:00,30741.145255269
2023-07-21 04:00:00+00:00,30598.157625188804
2023-07-21 05:00:00+00:00,30420.01099564866
2023-07-21 06:00:00+00:00,30637.113817793554
2023-07-24 00:00:00+00:00,30541.825895246075
2023-07-24 01:00:00+00:00,30547.910460393112
2023-07-24 02:00:00+00:00,30552.11181705434
2023-07-24 03:00:00+00:00,30559.38646903895
2023-07-24 04:00:00+00:00,30437.736823393596
2023-07-24 05:00:00+00:00,30321.00111402901
2023-07-24 06:00:00+00:00,30132.093955605207
2023-07-25 00:00:00+00:00,30769.207543232056
2023-07-25 01:00:00+00:00,31085.64083005283
2023-07-25 02:00:00+00:00,31028.407264358124
2023-07-25 03:00:00+00:00,30973.31284980586
2023-07-25 04:00:00+00:00,31130.022919754378
2023-07-25 05:00:00+00:00,31047.97644425926
2023-07-25 06:00:00+00:00,30975.675758916906
2023-07-26 00:00:00+00:00,30750.439667000148
2023-07-26 01:00:00+00:00,30557.052245575625
2023-07-26 02:00:00+00:00,30547.360287217485
2023-07-26 03:00:00+00:00,30398.524292299004
2023-07-26 04:00:00+00:00,30630.10782825937
2023-07-26 05:00:00+00:00,30338.21327315833
2023-07-26 06:00:00+00:00,30508.556117026008
2023-07-27 00:00:00+00:00,30752.271992417052
2023-07-27 01:00:00+00:00,30480.255426585274
