Datetime,Close
2023-07-14 14:30:00+00:00,34424.021514586646
2023-07-14 15:30:00+00:00,34389.39891391407
2023-07-14 16:30:00+00:00,34454.18749458647
2023-07-14 17:30:00+00:00,34403.44605805337
2023-07-14 18:30:00+00:00,34461.505080515155
2023-07-14 19:30:00+00:00,34561.434136138836
2023-07-14 20:00:00+00:00,34618.46870934518
2023-07-14 21:00:00+00:00,34462.40831842353
2023-07-17 13:30:00+00:00,34292.824770388404
2023-07-17 14:30:00+00:00,34402.02573924088
2023-07-17 15:30:00+00:00,34283.20460212795
2023-07-17 16:30:00+00:00,34325.55981895917
2023-07-17 17:30:00+00:00,34580.16982662154
2023-07-17 18:30:00+00:00,34492.30816975657
2023-07-17 19:30:00+00:00,34233.107556079645
2023-07-17 20:00:00+00:00,34123.494956564595
2023-07-17 21:00:00+00:00,34237.66071256624
2023-07-18 13:30:00+00:00,34433.65068018933
2023-07-18 14:30:00+00:00,34275.26280558938
2023-07-18 15:30:00+00:00,34203.78579511386
2023-07-18 16:30:00+00:00,34142.91189986179
2023-07-18 17:30:00+00:00,34048.457348550095
2023-07-18 18:30:00+00:00,33989.406535330454
2023-07-18 19:30:00+00:00,33856.805486796664
2023-07-18 20:00:00+00:00,33975.79437971852
2023-07-18 21:00:00+00:00,33709.42610043917
2023-07-19 13:30:00+00:00,33634.972860845744
2023-07-19 14:30:00+00:00,33563.52923376975
2023-07-19 15:30:00+00:00,33702.13245816037
2023-07-19 16:30:00+00:00,33717.60417427437
2023-07-19 17:30:00+00:00,33580.23878916933
2023-07-19 18:30:00+00:00,33592.72818662761
2023-07-19 19:30:00+00:00,33569.878625867015
2023-07-19 20:00:00+00:00,33534.07762972427
2023-07-19 21:00:00+00:00,33517.19526054483
2023-07-20 13:30:00+00:00,33649.41774033138
2023-07-20 14:30:00+00:00,33431.84413579593
2023-07-20 15:30:00+00:00,33408.258306377444
2023-07-20 16:30:00+00:00,33481.019060311635
2023-07-20 17:30:00+00:00,33498.846428484016
2023-07-20 18:30:00+00:00,33557.56596436485
2023-07-20 19:30:00+00:00,33585.15280417706
2023-07-20 20:00:00+00:00,33701.09254128786
2023-07-20 21:00:00+00:00,33837.994292032214
2023-07-21 13:30:00+00:00,33791.13526748794
2023-07-21 14:30:00+00:00,33746.45462187378
2023-07-21 15:30:00+00:00,33743.22285961794
2023-07-21 16:30:00+00:00,33594.42784984253
2023-07-21 17:30:00+00:00,33480.31957664385
2023-07-21 18:30:00+00:00,33507.149804625034
2023-07-21 19:30:00+00:00,33419.7750380045
2023-07-21 20:00:00+00:00,33530.87555527275
2023-07-21 21:00:00+00:00,33573.77058976841
2023-07-24 13:30:00+00:00,33645.165825873366
2023-07-24 14:30:00+00:00,33732.17472677943
2023-07-24 15:30:00+00:00,33586.27076722372
2023-07-24 16:30:00+00:00,33417.80466613159
2023-07-24 17:30:00+00:00,33372.99179275489
2023-07-24 18:30:00+00:00,33485.456480991095
2023-07-24 19:30:00+00:00,33655.626261146084
2023-07-24 20:00:00+00:00,33698.04671398514
2023-07-24 21:00:00+00:00,33841.19810945605
2023-07-25 13:30:00+00:00,33685.1614770131
2023-07-25 14:30:00+00:00,33649.62668762336
2023-07-25 15:30:00+00:00,33548.556397195316
2023-07-25 16:30:00+00:00,33523.57391293474
2023-07-25 17:30:00+00:00,33556.36096513177
2023-07-25 18:30:00+00:00,33524.383508733794
2023-07-25 19:30:00+00:00,33694.6746576931
2023-07-25 20:00:00+00:00,33675.771219769646
2023-07-25 22:00:00+00:00,33807.68158714241
2023-07-26 13:30:00+00:00,33840.640190702405
2023-07-26 14:30:00+00:00,33836.96611249085
2023-07-26 15:30:00+00:00,33864.16749376112
2023-07-26 16:30:00+00:00,33612.78462362173
2023-07-26 17:30:00+00:00,33627.19561976664
2023-07-26 18:30:00+00:00,33586.9362415565
2023-07-26 19:30:00+00:00,33679.03666351906
2023-07-26 20:00:00+00:00,33516.0364857209
2023-07-26 21:00:00+00:00,33522.04564119461
2023-07-27 13:30:00+00:00,33459.53085343995
2023-07-27 14:30:00+00:00,33547.078592421494
2023-07-27 15:30:00+00:00,33720.58881545021
2023-07-27 16:30:00+00:00,33779.19245395939
2023-07-27 17:30:00+00:00,33779.88760258141
2023-07-27 18:30:00+00:00,33855.554723659225
2023-07-27 19:30:00+00:00,34008.13642610725
2023-07-27 20:00:00+00:00,33885.22062677208
2023-07-27 21:00:00+00:00,33835.128269156936
2023-07-28 13:30:00+00:00,33804.53633912517
2023-07-28 14:30:00+00:00,33818.535781127
2023-07-28 15:30:00+00:00,33704.614415469274
2023-07-28 16:30:00+00:00,33805.996931805406
2023-07-28 17:30:00+00:00,33846.97055215869
2023-07-28 18:30:00+00:00,33754.28143751404
2023-07-28 19:30:00+00:00,33706.269224982185
2023-07-28 20:00:00+00:00,33804.57929676271
2023-07-31 13:30:00+00:00,33735.03819924826
2023-07-31 14:30:00+00:00,33744.75758957772
2023-07-31 15:30:00+00:00,33760.06462654013
2023-07-31 16:30:00+00:00,33697.21586074549
2023-07-31 17:30:00+00:00,33694.064163787385
2023-07-31 18:30:00+00:00,33630.61898213482
2023-07-31 19:30:00+00:00,33526.30114854919
2023-07-31 20:00:00+00:00,33433.73593282472
2023-07-31 21:00:00+00:00,33435.37935808464
2023-08-01 13:30:00+00:00,33349.485962191306
2023-08-01 14:30:00+00:00,33425.267813595994
2023-08-01 15:30:00+00:00,33408.15629291499
2023-08-01 16:30:00+00:00,33549.30238523929
2023-08-01 17:30:00+00:00,33478.88927649101
2023-08-01 18:30:00+00:00,33417.993038033055
2023-08-01 19:30:00+00:00,33394.254891915545
2023-08-01 20:00:00+00:00,33268.393721901644
2023-08-01 21:00:00+00:00,32923.23699095485
2023-08-02 13:30:00+00:00,32866.221264710686
2023-08-02 14:30:00+00:00,32813.639125029295
2023-08-02 15:30:00+00:00,32765.835197172037
2023-08-02 16:30:00+00:00,32778.25967728166
2023-08-02 17:30:00+00:00,33045.482207886336
2023-08-02 18:30:00+00:00,32983.89513499348
