Date,Forecasted
2025-03-01,318.2352733257575
2025-03-02,314.9305481560124
2025-03-03,311.41621226959364
2025-03-04,308.9225132552757
2025-03-05,307.9978066396304
2025-03-06,307.8364052631435
2025-03-07,307.88302879015777
2025-03-08,307.96722507405696
2025-03-09,307.80743625333565
2025-03-10,308.35901952507703
2025-03-11,308.3728486483311
2025-03-12,308.88931684378025
2025-03-13,309.18900874131145
2025-03-14,309.45835256611366
2025-03-15,309.608741512508
2025-03-16,309.93357536753007
2025-03-17,309.9306001397613
2025-03-18,310.0181605039547
2025-03-19,309.97582508346443
2025-03-20,310.0639298668697
2025-03-21,309.9264271062933
2025-03-22,310.44401188149135
2025-03-23,310.4429033472148
2025-03-24,310.7980327030207
2025-03-25,311.02370789218253
2025-03-26,311.09662730826994
2025-03-27,310.95290642865433
2025-03-28,311.12143730582306
2025-03-29,311.00340960338696
2025-03-30,311.0242224093058
