Datetime,Open,High,Low,Close,Volume,logReturns
2023-07-14 04:45:00+00:00,1033.9000244140625,1048.9000244140625,1027.6500244140625,1045.0,67772,0.01135615043634929
2023-07-14 05:45:00+00:00,1044.949951171875,1047.949951171875,1040.9000244140625,1045.0,50568,0.0
2023-07-14 06:45:00+00:00,1045.0,1046.0,1041.449951171875,1045.8499755859375,36803,0.0008130431572657391
2023-07-14 07:45:00+00:00,1045.0,1048.25,1043.3499755859375,1046.0999755859375,33818,0.00023901145536503048
2023-07-14 08:45:00+00:00,1045.6500244140625,1060.4000244140625,1044.5,1060.0,165374,0.013199968094570632
2023-07-14 09:45:00+00:00,1060.949951171875,1065.8499755859375,1058.5999755859375,1060.25,0,0.0002358212485871697
2023-07-17 03:45:00+00:00,1068.8499755859375,1069.9000244140625,1061.75,1063.1500244140625,0,0.002731493061902697
2023-07-17 04:45:00+00:00,1063.6500244140625,1071.949951171875,1055.4000244140625,1065.800048828125,369368,0.0024895142596686112
2023-07-17 05:45:00+00:00,1065.949951171875,1070.5999755859375,1063.199951171875,1068.25,54111,0.002296058847862799
2023-07-17 06:45:00+00:00,1068.1500244140625,1074.0,1066.25,1071.449951171875,77072,0.0029910301729506755
2023-07-17 07:45:00+00:00,1071.5,1073.949951171875,1069.699951171875,1072.0,35563,0.0005132369336624035
2023-07-17 08:45:00+00:00,1072.050048828125,1075.449951171875,1069.6500244140625,1070.9000244140625,77526,-0.0010266234262130056
2023-07-17 09:45:00+00:00,1070.6500244140625,1070.9000244140625,1066.699951171875,1069.699951171875,0,-0.0011212495390099508
2023-07-18 03:45:00+00:00,1070.0,1080.0999755859375,1068.449951171875,1074.75,195836,0.004709886710866624
2023-07-18 04:45:00+00:00,1074.300048828125,1078.5,1065.0,1067.3499755859375,70278,-0.006909158242812989
2023-07-18 05:45:00+00:00,1066.75,1072.0,1057.5999755859375,1060.8499755859375,183276,-0.006108467588132778
2023-07-18 06:45:00+00:00,1060.800048828125,1062.949951171875,1056.75,1057.0999755859375,33111,-0.003541163866147816
2023-07-18 07:45:00+00:00,1057.3499755859375,1059.8499755859375,1052.4000244140625,1053.449951171875,24731,-0.0034588407568404054
2023-07-18 08:45:00+00:00,1053.5999755859375,1055.0,1048.449951171875,1054.449951171875,40400,0.0009488117285915113
2023-07-18 09:45:00+00:00,1053.949951171875,1056.0,1051.75,1053.800048828125,24161,-0.0006165325405775433
2023-07-19 03:45:00+00:00,1051.699951171875,1070.0,1051.699951171875,1062.550048828125,63922,0.008269000358117382
2023-07-19 04:45:00+00:00,1063.0,1072.5,1060.5,1060.5,33201,-0.0019312304638512152
2023-07-19 05:45:00+00:00,1059.75,1065.0,1056.050048828125,1063.0,83814,0.002354604337210835
2023-07-19 06:45:00+00:00,1062.550048828125,1067.25,1061.9000244140625,1064.25,10624,0.0011752263663137488
2023-07-19 07:45:00+00:00,1064.050048828125,1075.050048828125,1063.6500244140625,1071.9000244140625,30406,0.007162471765648404
2023-07-19 08:45:00+00:00,1071.8499755859375,1072.449951171875,1067.300048828125,1069.25,39506,-0.0024753293668922775
2023-07-19 09:45:00+00:00,1069.75,1072.5,1067.4000244140625,1072.0,51508,0.0025685945237292227
2023-07-20 03:45:00+00:00,1068.949951171875,1091.550048828125,1065.5,1075.8499755859375,342542,0.0035849614758998592
2023-07-20 04:45:00+00:00,1076.0,1080.75,1068.5,1071.3499755859375,54620,-0.004191511448042111
2023-07-20 05:45:00+00:00,1071.8499755859375,1071.8499755859375,1065.0999755859375,1070.0,27844,-0.0012608642026532676
2023-07-20 06:45:00+00:00,1070.6500244140625,1077.050048828125,1069.9000244140625,1074.949951171875,50348,0.004615454972579559
