Date,Forecasted
2025-03-01,1015.5036977973824
2025-03-02,1009.3367730217592
2025-03-03,1009.2122357830476
2025-03-04,1009.2122357830476
2025-03-05,1009.0747322862418
2025-03-06,1009.0542577015717
2025-03-07,1008.8900630604584
2025-03-08,1008.2663474435965
2025-03-09,1008.024400015211
2025-03-10,1007.7092196472418
2025-03-11,1007.7092196472418
2025-03-12,1007.7092196472418
2025-03-13,1007.7092196472418
2025-03-14,1007.5922872911491
2025-03-15,1007.0179629070955
2025-03-16,1006.5112656719881
2025-03-17,1006.5112656719881
2025-03-18,1006.2399758872388
2025-03-19,1006.2399758872388
2025-03-20,1006.2399758872388
2025-03-21,1006.2399758872388
2025-03-22,1006.2399758872388
2025-03-23,1006.1151979331372
2025-03-24,1006.1151979331372
2025-03-25,1006.1151979331372
2025-03-26,1006.1151979331372
2025-03-27,1006.1151979331372
2025-03-28,1006.1151979331372
2025-03-29,1006.1151979331372
2025-03-30,1006.1151979331372
