Date,Forecasted
2025-03-01,1912.2844069838743
2025-03-02,1894.0069151909238
2025-03-03,1880.4859835360082
2025-03-04,1872.48743815201
2025-03-05,1867.8977465725854
2025-03-06,1850.6190551186216
2025-03-07,1850.433863286579
2025-03-08,1853.0253565615708
2025-03-09,1846.9637819012848
2025-03-10,1848.6278120669422
2025-03-11,1852.5672142595563
2025-03-12,1856.1119547216017
2025-03-13,1868.2673896209585
2025-03-14,1880.9225433077238
2025-03-15,1891.0729079278724
2025-03-16,1896.1710298039372
2025-03-17,1903.450744548252
2025-03-18,1912.932995763142
2025-03-19,1910.9689819684697
2025-03-20,1907.9926230712244
2025-03-21,1895.6212836606448
2025-03-22,1896.0742841881643
2025-03-23,1899.0989538103245
2025-03-24,1903.7478254687603
2025-03-25,1902.0254035022067
2025-03-26,1873.6410342969136
2025-03-27,1851.4611741899773
2025-03-28,1848.6184993046356
2025-03-29,1839.8809128248429
2025-03-30,1863.0075545477498
