Date,Actual,Predicted
2023-03-29,289.0579528808594,269.24384
2023-03-31,291.628173828125,269.83615
2023-04-03,284.0243835449219,270.98697
2023-04-05,283.5619201660156,272.63055
2023-04-06,283.37518310546875,274.6506
2023-04-10,283.464111328125,276.90445
2023-04-11,282.548095703125,279.24713
2023-04-12,282.8149719238281,281.53296
2023-04-13,282.0323181152344,283.6455
2023-04-17,281.4097900390625,285.48856
2023-04-18,281.4720153808594,286.99234
2023-04-19,280.5826416015625,288.1236
2023-04-20,281.0184631347656,288.86774
2023-04-21,281.5876770019531,289.2444
2023-04-24,279.4799499511719,289.29947
2023-04-25,278.23486328125,289.06287
2023-04-26,278.8040466308594,288.56366
2023-04-27,279.4443664550781,287.8533
2023-04-28,282.2457275390625,286.99805
2023-05-02,284.9225769042969,286.0976
2023-05-03,287.32379150390625,285.266
2023-05-04,286.89691162109375,284.61505
2023-05-05,288.63116455078125,284.20697
2023-05-08,288.9335021972656,284.08884
2023-05-09,287.4127197265625,284.27206
2023-05-10,293.3890380859375,284.7161
2023-05-11,293.0910949707031,285.4392
2023-05-12,292.3418273925781,286.4183
2023-05-15,292.48626708984375,287.59482
2023-05-16,292.8563537597656,288.8991
2023-05-17,292.5855712890625,290.2612
2023-05-19,290.91546630859375,291.60983
2023-05-22,290.27447509765625,292.86176
2023-05-23,289.4259338378906,293.94653
2023-05-24,290.7890625,294.80823
2023-05-25,287.0696716308594,295.4355
2023-05-26,287.9634094238281,295.78714
2023-05-30,280.10943603515625,295.86578
2023-05-31,276.5524597167969,295.59692
2023-06-01,270.7747497558594,294.917
2023-06-02,269.87200927734375,293.75073
2023-06-05,271.749755859375,292.08704
2023-06-06,274.30462646484375,289.99997
2023-06-07,275.1080322265625,287.62766
2023-06-08,277.0670471191406,285.1254
2023-06-09,279.7121887207031,282.6632
2023-06-12,278.78228759765625,280.41617
2023-06-13,279.0982666015625,278.50162
2023-06-14,275.794189453125,276.99847
2023-06-15,280.3531188964844,275.90167
2023-06-16,278.21356201171875,275.2425
2023-06-19,278.6017150878906,274.98734
2023-06-20,280.3080139160156,275.08768
2023-06-21,283.2870788574219,275.50223
2023-06-22,275.18927001953125,276.21207
2023-06-23,273.5643615722656,277.0703
2023-06-26,271.9664611816406,277.93448
2023-06-27,275.18927001953125,278.67767
2023-06-28,272.5713195800781,279.25888
2023-06-30,279.31494140625,279.62668
2023-07-07,274.7379455566406,279.8497
2023-07-10,275.32476806640625,279.9301
2023-07-14,274.611572265625,279.88763
2023-07-17,274.0789489746094,279.73825
2023-07-19,275.0358581542969,279.49753
2023-07-20,273.46502685546875,279.19742
2023-07-21,275.6767883300781,278.84778
2023-07-24,273.4831237792969,278.4906
2023-07-26,274.34075927734375,278.13132
2023-07-28,277.4642639160156,277.7879
2023-08-03,278.0970458984375,277.51422
2023-08-04,280.6557312011719,277.35297
2023-08-07,280.77496337890625,277.35858
2023-08-08,279.6561279296875,277.55637
2023-08-09,279.9037170410156,277.93063
2023-08-10,283.0585021972656,278.45358
2023-08-11,283.93890380859375,279.12717
2023-08-14,280.63739013671875,279.94382
2023-08-16,279.9129333496094,280.835
2023-08-17,281.55450439453125,281.7275
2023-08-18,284.2965393066406,282.58133
2023-08-21,281.85711669921875,283.39792
2023-08-22,280.1146545410156,284.14206
2023-08-23,283.3886413574219,284.7659
2023-08-24,280.01373291015625,285.2807
2023-08-25,278.48223876953125,285.65472
2023-08-28,274.7130126953125,285.8547
2023-08-29,275.5108947753906,285.82104
2023-08-30,279.0600280761719,285.54227
2023-08-31,283.3336181640625,285.07794
2023-09-01,290.1934509277344,284.54337
2023-09-04,291.37646484375,284.11664
2023-09-05,292.4677734375,283.93222
2023-09-06,292.1834716796875,284.07816
2023-09-07,292.49530029296875,284.57938
2023-09-08,293.0364074707031,285.41794
2023-09-11,292.5778503417969,286.54614
2023-09-12,293.83428955078125,287.8854
2023-09-13,300.7857971191406,289.362
2023-09-14,301.11590576171875,290.98474
2023-09-15,287.845703125,292.7318
2023-09-18,286.17657470703125,294.38977
2023-09-20,286.9653015136719,295.78152
2023-09-21,287.4054870605469,296.80322
2023-09-22,286.5709533691406,297.41077
2023-09-25,289.0012512207031,297.5935
2023-09-26,285.1036376953125,297.40857
2023-09-27,285.66302490234375,296.8791
2023-09-28,285.5346374511719,296.0619
2023-09-29,287.5522155761719,295.0251
2023-10-03,283.7554931640625,293.86868
2023-10-04,284.1773681640625,292.6347
2023-10-05,284.4616394042969,291.37613
2023-10-06,284.2048645019531,290.14685
2023-10-09,285.91064453125,288.99078
2023-10-10,283.46197509765625,287.96515
2023-10-11,284.672607421875,287.07993
2023-10-12,283.1777038574219,286.35486
2023-10-13,284.5716552734375,285.77963
2023-10-16,283.92974853515625,285.35867
2023-10-17,282.4898986816406,285.0802
2023-10-18,290.1108703613281,284.9093
2023-10-19,293.1005554199219,284.91345
2023-10-20,287.4696350097656,285.1639
2023-10-23,286.690185546875,285.6171
2023-10-25,283.3336181640625,286.2112
2023-10-26,282.87506103515625,286.84183
2023-10-27,283.27862548828125,287.42175
2023-10-30,284.44329833984375,287.8946
2023-10-31,283.7554931640625,288.24228
2023-11-01,284.36993408203125,288.45227
2023-11-02,284.1590270996094,288.53427
2023-11-03,285.52545166015625,288.50336
2023-11-06,291.4212951660156,288.3971
2023-11-07,290.3688049316406,288.32336
2023-11-08,293.2748107910156,288.3413
2023-11-09,297.559326171875,288.52017
2023-11-10,296.6651916503906,288.94446
2023-11-13,296.814208984375,289.63376
2023-11-15,302.2723083496094,290.57135
