Date,Actual,Predicted
2023-03-29,816.6604614257812,799.23926
2023-03-31,832.1157836914062,792.4252
2023-04-03,834.3871459960938,787.3658
2023-04-05,851.2744140625,785.3241
2023-04-06,885.5919799804688,787.3603
2023-04-10,895.6650390625,795.0518
2023-04-11,890.3322143554688,807.41705
2023-04-12,895.4181518554688,821.1772
2023-04-13,902.5286254882812,833.736
2023-04-17,905.3924560546875,843.786
2023-04-18,912.2067260742188,850.8392
2023-04-19,911.910400390625,855.4421
2023-04-20,902.133544921875,858.09076
2023-04-21,862.483154296875,858.607
2023-04-24,866.7296142578125,854.62
2023-04-25,880.2098999023438,847.1908
2023-04-26,894.4800415039062,839.38135
2023-04-27,903.5654907226562,834.2694
2023-04-28,903.7136840820312,833.43005
2023-05-02,904.108642578125,836.3315
2023-05-03,912.0090942382812,841.4256
2023-05-04,916.6012573242188,847.55255
2023-05-05,911.8609619140625,853.70764
2023-05-08,927.1681518554688,858.56433
2023-05-09,919.9096069335938,862.6431
2023-05-10,928.0569458007812,865.4578
2023-05-11,937.8831176757812,867.52216
2023-05-12,929.3900756835938,869.7699
2023-05-15,974.6203002929688,871.682
2023-05-16,963.0166015625,876.2638
2023-05-17,903.5161743164062,882.61084
2023-05-18,878.9754028320312,884.9531
2023-05-19,907.0220336914062,880.2302
2023-05-22,914.0335693359376,871.7445
2023-05-23,914.1324462890625,863.15424
2023-05-24,913.2435913085938,856.7458
2023-05-25,929.538330078125,853.3207
2023-05-26,921.2921142578125,853.8233
2023-05-29,918.0826416015625,856.81696
2023-05-30,921.5391845703125,860.49274
2023-05-31,919.1688842773438,863.8377
2023-06-01,928.8469848632812,866.0576
2023-06-02,946.9193725585938,867.66504
2023-06-05,947.7586669921875,870.19763
2023-06-06,972.89208984375,873.8092
2023-06-07,968.7443237304688,879.7366
2023-06-08,955.0172729492188,886.9112
2023-06-09,953.8321533203125,892.883
2023-06-12,951.560791015625,896.40216
2023-06-13,971.8550415039062,897.1973
2023-06-14,1006.3702392578125,897.3541
2023-06-15,981.8294067382812,900.3487
2023-06-16,1001.7286376953125,904.63574
2023-06-19,996.5440673828125,910.28723
2023-06-20,1007.5059814453125,915.98694
2023-06-21,1004.7299194335938,921.4574
2023-06-22,989.3128662109375,925.919
2023-06-23,975.5318603515625,927.8285
2023-06-26,973.89599609375,926.1658
2023-06-27,975.7301635742188,921.61633
2023-06-28,971.764404296875,915.8414
2023-06-30,976.3745727539062,910.09863
2023-07-03,989.9573974609376,905.74164
2023-07-04,982.571044921875,904.27374
2023-07-05,1002.9949340820312,905.0274
2023-07-06,1031.1519775390625,908.49176
2023-07-07,1011.9178466796875,915.7378
2023-07-10,1009.2409057617188,923.96375
2023-07-11,1032.044189453125,930.8247
2023-07-12,1024.7572021484375,936.7815
2023-07-13,1019.7504272460938,941.1568
2023-07-14,1051.1790771484375,943.38306
2023-07-17,1060.5479736328125,945.9121
2023-07-18,1044.88330078125,949.99915
2023-07-19,1060.6473388671875,954.14734
2023-07-20,1066.397705078125,958.496
2023-07-21,1047.213134765625,962.998
2023-07-24,1058.168701171875,965.76904
2023-07-25,1055.4918212890625,967.1179
2023-07-26,1077.6009521484375,967.23303
2023-07-27,1104.46923828125,968.1162
2023-07-28,1109.9222412109375,972.11865
2023-07-31,1109.9715576171875,979.1943
2023-08-01,1098.7684326171875,987.7103
2023-08-02,1099.26416015625,994.958
2023-08-03,1092.9188232421875,999.591
2023-08-04,1112.301513671875,1000.9393
2023-08-07,1090.142822265625,1000.95496
2023-08-08,1097.13232421875,999.16656
2023-08-09,1079.7325439453125,996.6146
2023-08-10,1086.0283203125,992.90564
2023-08-11,1070.066162109375,989.2141
2023-08-14,1060.6473388671875,985.1541
2023-08-16,1070.95849609375,980.32635
2023-08-17,1067.4385986328125,976.0028
2023-08-18,1064.464599609375,972.66895
2023-08-21,1069.0250244140625,970.331
2023-08-22,1083.5498046875,969.20953
2023-08-23,1087.81298828125,970.09216
2023-08-24,1088.655517578125,972.87775
2023-08-25,1071.8011474609375,977.01776
2023-08-28,1073.783935546875,980.0548
2023-08-29,1090.440185546875,981.2279
2023-08-30,1117.655517578125,981.8887
2023-08-31,1111.2606201171875,984.5663
2023-09-01,1118.250244140625,988.8983
2023-09-04,1117.7049560546875,994.34265
2023-09-05,1136.592041015625,999.7715
2023-09-06,1135.0057373046875,1005.5612
2023-09-07,1144.5235595703125,1011.03723
2023-09-08,1169.5078125,1016.1729
2023-09-11,1186.4122314453125,1022.3046
2023-09-12,1130.544189453125,1030.1996
2023-09-13,1124.2484130859375,1034.8606
2023-09-14,1154.2396240234375,1034.5092
2023-09-15,1163.856689453125,1032.3761
2023-09-18,1149.2825927734375,1030.9309
2023-09-20,1133.17138671875,1029.8821
2023-09-21,1124.298095703125,1028.1759
2023-09-22,1111.2606201171875,1025.183
2023-09-25,1124.6451416015625,1020.4491
