Date,Actual,Predicted
2023-03-29,1021.7000122070312,1059.6025
2023-03-31,1031.050048828125,1046.961
2023-04-03,1045.5,1036.0059
2023-04-05,1056.5,1028.753
2023-04-06,1125.3499755859375,1027.5264
2023-04-10,1228.3499755859375,1037.257
2023-04-11,1233.800048828125,1061.993
2023-04-12,1247.699951171875,1099.9004
2023-04-13,1283.0999755859375,1145.2203
2023-04-17,1279.300048828125,1194.2002
2023-04-18,1307.25,1237.9005
2023-04-19,1292.9000244140625,1272.8468
2023-04-20,1279.449951171875,1296.0541
2023-04-21,1272.550048828125,1306.2837
2023-04-24,1283.4000244140625,1304.8019
2023-04-25,1291.5,1295.8193
2023-04-26,1295.6500244140625,1284.2313
2023-04-27,1319.9000244140625,1273.9567
2023-04-28,1315.25,1268.82
2023-05-02,1328.75,1269.3052
2023-05-03,1328.550048828125,1275.0778
2023-05-04,1326.050048828125,1284.1923
2023-05-05,1324.199951171875,1294.0394
2023-05-08,1341.3499755859375,1302.3578
2023-05-09,1325.5,1309.0935
2023-05-10,1336.949951171875,1313.0375
2023-05-11,1339.449951171875,1314.8378
2023-05-12,1338.300048828125,1315.3766
2023-05-15,1388.5,1315.2471
2023-05-16,1389.699951171875,1318.4436
2023-05-17,1383.800048828125,1325.8947
2023-05-18,1309.1500244140625,1335.9774
2023-05-19,1322.199951171875,1341.1212
2023-05-22,1342.4000244140625,1339.4475
2023-05-23,1345.25,1333.3323
2023-05-24,1337.9000244140625,1325.7588
2023-05-25,1365.5999755859375,1318.807
2023-05-26,1372.0999755859375,1315.2091
2023-05-29,1374.9000244140625,1316.308
2023-05-30,1385.949951171875,1321.6799
2023-05-31,1390.300048828125,1330.4712
2023-06-01,1402.699951171875,1341.4076
2023-06-02,1427.449951171875,1352.9923
2023-06-05,1414.0999755859375,1365.4552
2023-06-06,1421.4000244140625,1376.8208
2023-06-07,1446.449951171875,1386.0886
2023-06-08,1424.699951171875,1394.393
2023-06-09,1429.9000244140625,1400.2987
2023-06-12,1434.9000244140625,1403.6028
2023-06-13,1474.449951171875,1404.9081
2023-06-14,1506.550048828125,1407.6985
2023-06-15,1569.6500244140625,1415.3264
2023-06-16,1536.550048828125,1432.1517
2023-06-19,1521.6500244140625,1454.2139
2023-06-20,1526.800048828125,1475.458
2023-06-21,1529.8499755859375,1491.9062
2023-06-22,1497.800048828125,1501.8364
2023-06-23,1499.449951171875,1502.9758
2023-06-26,1535.6500244140625,1496.4736
2023-06-27,1563.300048828125,1487.8384
2023-06-28,1583.0999755859375,1482.7808
2023-06-30,1568.449951171875,1484.8462
2023-07-03,1582.1500244140625,1492.6078
2023-07-04,1560.800048828125,1504.2855
2023-07-05,1559.5,1515.5425
2023-07-06,1598.699951171875,1523.4816
2023-07-07,1581.8499755859373,1529.8584
2023-07-10,1573.699951171875,1534.1848
2023-07-11,1599.3499755859375,1535.8202
2023-07-12,1598.75,1536.8568
2023-07-13,1621.4000244140625,1538.2565
2023-07-14,1666.0999755859375,1541.8942
2023-07-17,1625.25,1551.049
2023-07-18,1607.6500244140627,1562.104
2023-07-19,1607.5,1570.6837
2023-07-20,1622.199951171875,1574.6447
2023-07-21,1627.050048828125,1574.9178
2023-07-24,1648.4000244140623,1573.5168
2023-07-25,1651.9499511718752,1573.0599
2023-07-26,1671.3000488281252,1574.8912
2023-07-27,1707.050048828125,1580.2827
2023-07-28,1751.9499511718748,1591.0469
2023-07-31,1740.5000000000002,1609.0669
2023-08-01,1692.0,1631.5884
2023-08-02,1659.8000488281252,1650.2809
2023-08-03,1573.0,1658.3993
2023-08-04,1535.9000244140625,1648.7135
2023-08-07,1561.6500244140625,1621.4417
2023-08-08,1560.4000244140625,1584.1449
2023-08-09,1526.8499755859375,1545.7572
2023-08-10,1528.3499755859375,1511.1964
2023-08-11,1519.949951171875,1484.4377
2023-08-14,1549.9000244140625,1466.7721
2023-08-16,1547.5,1459.9818
2023-08-17,1547.75,1462.6279
2023-08-18,1526.0,1471.6252
2023-08-21,1554.0999755859375,1481.8488
2023-08-22,1565.4000244140625,1491.9224
2023-08-23,1595.3499755859375,1501.3976
2023-08-24,1612.699951171875,1511.7273
