Date,Close
2000-01-05,18511.60742454399
2000-01-06,18635.50063610515
2000-01-07,17955.443394506332
2000-01-11,17754.321327185953
2000-01-12,17378.4182012578
2000-01-13,17672.042620180586
2000-01-14,17941.94953085436
2000-01-17,18107.17801425656
2000-01-18,18125.237499862338
2000-01-19,17798.950298132804
2000-01-20,18120.260814724188
2000-01-21,18041.489558904108
2000-01-24,17554.973696733396
2000-01-25,17534.021617857503
2000-01-26,17829.616331146404
2000-01-27,17955.00153052654
2000-01-28,18596.53537074645
2000-01-31,18533.173511392284
2000-02-01,19154.810353099547
2000-02-02,19072.310147999924
2000-02-03,18803.178001269996
2000-02-04,18521.560804644105
2000-02-07,18709.006345152975
2000-02-08,18758.47182613855
2000-02-09,18622.292529899532
2000-02-10,18469.26092824411
2000-02-14,18770.989549118935
2000-02-15,18965.790656957957
2000-02-16,19119.44210059505
2000-02-17,19231.970968130365
2000-02-18,19544.84029801185
2000-02-21,19550.61471359372
2000-02-22,20006.03116756147
2000-02-23,18994.55346579314
2000-02-24,18409.541556114506
2000-02-25,18150.888983115856
2000-02-28,18286.67273791444
2000-02-29,18282.424334883828
2000-03-01,18222.41762333621
2000-03-02,18296.051268647094
2000-03-03,18568.389816574403
2000-03-06,18843.23835322292
2000-03-07,19180.535070119735
2000-03-08,18895.06711292039
2000-03-09,19165.353839142732
2000-03-10,19203.060778417996
2000-03-13,19556.983787729274
2000-03-14,18784.651331446017
2000-03-15,18839.304283696856
2000-03-16,19414.13153948916
2000-03-17,19433.43660381105
2000-03-21,19696.218808073987
2000-03-22,19500.30813080944
2000-03-23,19620.85986385477
2000-03-24,19786.37962731127
2000-03-27,19908.675402664547
2000-03-28,20423.35446631437
2000-03-29,20425.88731106886
2000-03-30,20369.055618458715
2000-03-31,20238.34595841777
2000-04-03,20286.5444616756
2000-04-04,19952.90669783041
2000-04-05,20247.257163813563
2000-04-06,20859.85384090359
2000-04-07,20825.59897493936
2000-04-10,20396.20559400193
2000-04-11,20407.183515530847
2000-04-12,20478.972365167294
2000-04-13,20851.15306692246
2000-04-14,20786.040144045204
2000-04-17,20912.715608523325
2000-04-18,20964.562118329737
2000-04-19,20722.61750905045
2000-04-20,20795.263771370854
2000-04-21,20659.846360487278
2000-04-24,20524.387827728475
2000-04-25,20527.404427031863
2000-04-26,20493.467715264665
2000-04-27,20868.228331762213
2000-04-28,20800.155640391975
2000-05-01,20380.3607251137
2000-05-02,20322.261478836255
2000-05-08,20345.0051838091
2000-05-09,20207.52187830595
2000-05-10,19751.261623173665
2000-05-11,19336.185050683456
2000-05-12,18724.87455386704
2000-05-15,18704.64670550915
2000-05-16,18728.798127628033
2000-05-17,18362.30052795237
2000-05-18,18631.703460644665
2000-05-19,18265.717899525993
2000-05-22,18042.571985567884
2000-05-23,18639.02882286465
2000-05-24,18755.51792254802
