Date,Close
2007-07-06,489.9735756377933
2007-07-09,512.6587666068009
2007-07-10,510.4314638937168
2007-07-11,503.4935463838751
2007-07-12,506.2947750950958
2007-07-13,496.7101484887902
2007-07-16,497.2356281032924
2007-07-17,519.388688059695
2007-07-18,495.4865244099653
2007-07-19,493.1875358732445
2007-07-20,498.04480404611974
2007-07-23,479.58341737129354
2007-07-24,459.60546021590864
2007-07-25,468.5274779997273
2007-07-26,484.79047379729064
2007-07-27,509.0196425405304
2007-07-30,510.3591943304536
2007-07-31,498.99771258672
2007-08-01,488.96635676504246
2007-08-02,494.28337606668475
2007-08-03,478.1145950642641
2007-08-06,491.0778685394753
2007-08-07,488.743853392112
2007-08-08,500.01466750989937
2007-08-09,508.79024110759747
2007-08-10,489.19033961059205
2007-08-13,470.920565166504
2007-08-14,475.4695128903986
2007-08-16,483.5827413776643
2007-08-17,490.9219766896282
2007-08-20,510.1612450217305
2007-08-21,504.7570507674374
2007-08-22,506.9818212552356
2007-08-23,500.7605266570663
2007-08-24,510.912393219851
2007-08-27,500.21751292604864
2007-08-28,501.1499098551546
2007-08-29,496.02876208270965
2007-08-30,507.4714843365511
2007-08-31,498.41897957849324
2007-09-03,497.4773335946534
2007-09-04,514.0474271989207
2007-09-05,506.7267465583111
2007-09-06,512.9112686246955
2007-09-07,516.6225060961391
2007-09-10,521.6390745823023
2007-09-11,546.1551961430202
2007-09-12,536.0218967013957
2007-09-13,555.0434136253798
2007-09-14,547.8489592118448
2007-09-17,543.7874168954501
2007-09-18,540.9408732443625
2007-09-19,535.8701892231866
2007-09-20,555.280894952968
2007-09-21,544.0679162134622
2007-09-24,518.4042212440365
2007-09-25,480.74272716120777
2007-09-26,478.57172422960434
2007-09-27,472.56579736839467
2007-09-28,455.4380179068955
2007-10-01,446.74698535486084
2007-10-03,441.69578668736483
2007-10-04,454.9523313732388
2007-10-05,441.10525437991055
2007-10-08,428.40848377646773
2007-10-09,431.0712598679798
2007-10-10,448.46587870038053
2007-10-11,475.62776014640104
2007-10-12,505.1012600084136
2007-10-15,476.56961626399146
2007-10-16,463.7120707879261
2007-10-17,456.6294797495437
2007-10-18,442.40739204269386
2007-10-19,443.71250092841706
2007-10-22,441.36686120965777
2007-10-23,445.61421246966046
2007-10-24,448.12499646748677
2007-10-25,448.96500833741845
2007-10-26,463.7924876370529
2007-10-29,502.7651163754309
2007-10-30,508.18522918922304
2007-10-31,519.9887674956253
2007-11-01,532.8274981318967
2007-11-02,562.1315940426188
2007-11-05,578.0329921178894
2007-11-06,578.8674731327045
2007-11-07,565.5110125805829
2007-11-08,556.0448883909982
2007-11-12,564.365943143862
2007-11-13,543.4420757041921
2007-11-14,547.0660543100333
2007-11-15,536.5690760248813
2007-11-16,539.8006889688227
2007-11-19,530.2767203300133
2007-11-20,552.0184382777555
2007-11-21,544.4243751240392
2007-11-22,535.4759040927123
2007-11-23,485.65880158511334
2007-11-26,457.8232307720921
2007-11-27,442.56632372591065
2007-11-28,440.7021836606893
2007-11-29,457.9697018843742
2007-11-30,453.38487712354294
2007-12-03,449.6548508037837
2007-12-04,448.98152157464585
2007-12-05,445.40211507007314
2007-12-06,463.7398781810858
2007-12-07,475.16623195241266
2007-12-10,472.1581731722099
2007-12-11,490.8318933063138
2007-12-12,478.63748272247915
2007-12-13,466.9387591663452
2007-12-14,495.4942077389533
2007-12-17,489.85606797607534
2007-12-18,445.5361348451801
2007-12-19,417.2458702517382
2007-12-20,411.4886921287315
2007-12-24,429.65140845667634
2007-12-26,422.06015841676253
2007-12-27,428.65932357500225
2007-12-28,434.03767933592434
2007-12-31,431.0316212872505
2008-01-01,424.1861443463587
2008-01-02,423.5829927916463
2008-01-03,416.37563619761477
2008-01-04,414.97595660036416
2008-01-07,404.14446752250336
2008-01-08,392.6912293759557
2008-01-09,400.16879034000107
2008-01-10,439.2101303529018
2008-01-11,434.1371031778557
2008-01-14,434.49832396311024
2008-01-15,419.81621337807667
2008-01-16,414.0524438362265
2008-01-17,409.80859578545005
2008-01-18,398.2066686921423
2008-01-21,398.9334519344557
2008-01-22,405.198050180183
2008-01-23,410.7102515924437
2008-01-24,405.01457352559464
2008-01-25,400.81877553623707
2008-01-28,384.8353120170664
2008-01-29,374.5689273802523
2008-01-30,381.8981644332105
2008-01-31,386.86470411826747
2008-02-01,384.6798469858424
2008-02-04,376.5527036551313
2008-02-05,398.0400461957674
2008-02-06,401.68701122083206
2008-02-07,414.88762254501677
2008-02-08,419.7863747727665
2008-02-11,415.8934555480793
2008-02-12,433.46600137955784
2008-02-13,439.06426280272626
2008-02-14,434.59890138095693
2008-02-15,415.9846611545804
2008-02-18,408.4606621410781
2008-02-19,421.1771544455783
2008-02-20,431.52311397889724
2008-02-21,447.1422574757724
2008-02-22,433.9950317018164
2008-02-25,414.6332086490726
2008-02-26,415.00392861225674
2008-02-27,415.64963766251725
2008-02-28,425.16642460054555
2008-02-29,427.4379611959434
2008-03-03,426.5508710441718
2008-03-04,397.7335093482329
2008-03-05,415.7922433089946
2008-03-07,427.59717327099406
2008-03-10,422.31547986710035
2008-03-11,424.95543099082937
2008-03-12,441.6278627619859
2008-03-13,436.14915321392806
2008-03-14,422.2745779694274
2008-03-17,422.22238592820514
2008-03-18,417.8528635167904
2008-03-19,427.57397563795683
2008-03-24,423.5575424518753
2008-03-25,430.81611523091465
2008-03-26,410.6964492582163
2008-03-27,424.7007610163213
2008-03-28,456.6503477627552
2008-03-31,447.18855932672375
2008-04-01,463.62234264510573
2008-04-02,451.4831761237767
2008-04-03,433.5531452977672
2008-04-04,410.2369088027474
2008-04-07,391.09027658289585
2008-04-08,391.69687951877563
2008-04-09,391.9796974985746
2008-04-10,401.21989012969664
2008-04-11,408.1582253728757
2008-04-15,410.072139059572
2008-04-16,400.7828354235624
2008-04-17,401.17535774874835
2008-04-21,397.1963509900557
2008-04-22,392.6069108014192
2008-04-23,398.609639891847
2008-04-24,409.882988348478
2008-04-25,395.16953110649115
2008-04-28,409.54376632172364
2008-04-29,420.81320708923477
2008-04-30,442.76835642302325
2008-05-02,435.3748705863365
2008-05-05,423.19813001034424
2008-05-06,411.59776846136845
2008-05-07,406.8036858999825
2008-05-08,388.8190945764034
2008-05-09,397.5712014481407
2008-05-12,381.9861845614266
2008-05-13,379.14165707634237
2008-05-14,385.1797552307185
2008-05-15,369.26431502530664
2008-05-16,385.66761816632004
2008-05-20,370.43286859050164
2008-05-21,372.8390557569623
2008-05-22,366.85773075863716
2008-05-23,373.8774480142193
2008-05-26,373.1125095442868
2008-05-27,374.81797903430225
2008-05-28,391.79337389499193
2008-05-29,392.46192209043613
2008-05-30,389.28381050463594
2008-06-02,393.2835923019881
2008-06-03,405.345680734197
2008-06-04,431.1592511023775
2008-06-05,418.6658635184148
2008-06-06,422.576816375827
2008-06-09,414.31069099768627
2008-06-10,408.84652646690165
2008-06-11,415.6746863787169
2008-06-12,401.081935874385
2008-06-13,410.38825235616025
2008-06-16,410.9065624109093
2008-06-17,411.8373361800882
2008-06-18,416.0417486633371
2008-06-19,406.4247532865664
2008-06-20,386.8891097480928
2008-06-23,371.760983421909
2008-06-24,345.04071843813546
2008-06-25,344.518212783992
2008-06-26,339.4259479593146
2008-06-27,343.51498163237045
2008-06-30,346.0812006072206
2008-07-01,358.89473974939574
2008-07-02,372.28395588378316
2008-07-03,373.89663019548135
2008-07-04,367.5076213413179
2008-07-07,369.25033574480756
2008-07-08,353.91118885414835
2008-07-09,359.77878008512016
2008-07-10,362.9053959411565
2008-07-11,353.0666519489551
2008-07-14,350.6084806996497
2008-07-15,364.40549809583365
2008-07-16,378.8884031319607
2008-07-17,369.99589578208594
2008-07-18,372.9903909161466
2008-07-21,361.2493699159604
2008-07-22,365.1078727775385
2008-07-23,363.1536670949156
2008-07-24,399.1606373335615
2008-07-25,407.2167195371293
2008-07-28,423.8878866143111
2008-07-29,435.77588853838756
2008-07-30,470.8258920631188
2008-07-31,464.6534002868157
2008-08-01,480.2254484723485
2008-08-04,480.01118217199297
2008-08-05,496.9924191960323
2008-08-06,502.59972190899873
2008-08-07,529.6070158696515
2008-08-08,549.6113318713161
2008-08-11,550.7307664424475
2008-08-12,542.4625108160346
2008-08-13,532.3203395134292
2008-08-14,489.80063903768917
2008-08-18,488.2773995879234
2008-08-19,501.4311642339508
2008-08-20,514.8536983977234
2008-08-21,493.19503971489297
2008-08-22,536.4435890386543
2008-08-25,540.25950469079
2008-08-26,532.9853811159429
2008-08-27,523.591908174264
2008-08-28,531.3155471472393
2008-08-29,541.0846336913085
2008-09-01,551.7045715111814
2008-09-02,531.1525089178554
2008-09-04,537.330540575202
2008-09-05,488.8146260903636
2008-09-08,459.0755533531109
2008-09-09,444.332767661376
2008-09-10,470.2691807904502
2008-09-11,428.67771777800755
2008-09-12,431.77220383203
2008-09-15,423.1960590358185
2008-09-16,407.07060142378737
2008-09-17,366.7312624352737
2008-09-18,360.6051822989651
2008-09-19,365.76775923754144
2008-09-22,360.8679561311556
2008-09-23,354.3896660336399
2008-09-24,356.18551312168023
2008-09-25,344.90488576087057
2008-09-26,332.3625592048374
2008-09-29,316.0464586554847
2008-09-30,309.6885415069044
2008-10-01,305.07357859330324
2008-10-03,312.0717053415371
2008-10-06,300.19958592147566
2008-10-07,303.9363988941178
2008-10-08,300.2798799286305
2008-10-10,303.07740645168934
2008-10-13,295.89382520060457
2008-10-14,303.43890428822124
2008-10-15,302.90055974190784
2008-10-16,304.778807574513
2008-10-17,289.5783797671485
2008-10-20,281.74737169682
2008-10-21,272.54441001651475
2008-10-22,280.50497950931464
2008-10-23,282.9604080984964
2008-10-24,282.7649579594602
2008-10-27,288.343251744836
2008-10-29,275.900877305219
2008-10-31,258.25793044968646
2008-11-03,267.0724268080684
2008-11-04,281.2233079767012
2008-11-05,280.5806742065367
2008-11-06,276.4057747525598
2008-11-07,271.6172259821864
2008-11-10,270.8204344790326
2008-11-11,265.7798452546163
2008-11-12,270.22900099845197
2008-11-14,261.9166447969028
2008-11-17,260.7300541400739
2008-11-18,246.7238617061358
2008-11-19,244.21347883684754
2008-11-20,238.22873786819986
2008-11-21,238.43252515252772
2008-11-24,242.13877360301265
2008-11-25,239.58613888648918
2008-11-26,245.7790881475873
2008-11-27,241.19012158025703
2008-11-28,248.9494314445122
2008-12-01,242.20523599932721
2008-12-02,243.23275173720413
2008-12-03,246.13300030072523
2008-12-04,233.31568663079068
2008-12-05,243.25161808325907
2008-12-08,248.64944846924553
2008-12-10,253.64285810754993
2008-12-11,257.651330052087
2008-12-12,255.1371978345567
2008-12-15,258.43819932911543
2008-12-16,258.8229430480255
2008-12-17,267.2214745541836
2008-12-18,270.18617299944844
2008-12-19,272.6971740523093
2008-12-22,256.8178248802979
2008-12-23,254.4008580630569
2008-12-24,263.89057186974674
2008-12-26,243.0453676569218
2008-12-29,239.70752725546728
2008-12-30,233.6631069099037
2008-12-31,238.58247033696279
2009-01-02,217.0763034174083
2009-01-05,214.04126458604654
2009-01-06,211.7189109138367
2009-01-07,226.03833582010256
2009-01-09,227.80114202571266
2009-01-12,241.68206935978063
2009-01-13,244.64066283583432
2009-01-14,248.9093401463487
2009-01-15,256.5948953736997
2009-01-16,251.4545861009563
2009-01-19,236.15465836872613
2009-01-20,231.95521655629165
2009-01-21,225.32103725647664
2009-01-22,234.8946441669575
2009-01-23,231.00069477904887
2009-01-27,228.68037011426057
2009-01-28,251.353693812613
2009-01-29,248.71699924542068
2009-01-30,242.3022142292877
2009-02-02,248.50529493700316
2009-02-03,241.35444325783092
2009-02-04,250.10285162994487
2009-02-05,244.977845102911
2009-02-06,247.185922181446
2009-02-09,246.48461976280888
2009-02-10,248.46026063212835
2009-02-11,241.8666627702551
2009-02-12,251.2682961601738
2009-02-13,242.71837404737383
2009-02-16,248.29400959229892
2009-02-17,257.5600567291983
2009-02-18,254.9071029558649
2009-02-19,252.87961184600508
2009-02-20,233.4004805673767
2009-02-24,219.07252889632338
2009-02-25,226.4387063078515
2009-02-26,225.0652473043627
2009-02-27,223.6761218371033
2009-03-02,237.09277100987975
2009-03-03,228.11843871496455
2009-03-04,235.352761680874
