Date,Actual,Predicted
2023-03-29,247.9627685546875,240.65678
2023-03-31,247.42234802246094,249.27173
2023-04-03,246.37698364257812,248.98112
2023-04-05,247.35145568847656,248.04803
2023-04-06,245.4379119873047,249.1717
2023-04-10,245.11903381347656,248.58035
2023-04-11,241.70831298828125,248.4567
2023-04-12,246.12892150878906,246.22781
2023-04-13,244.03822326660156,248.54518
2023-04-17,243.78131103515625,249.04677
2023-04-18,246.31497192382812,247.59976
2023-04-19,246.9793701171875,249.64194
2023-04-20,247.34262084960938,249.883
2023-04-21,245.4645233154297,249.73518
2023-04-24,245.53538513183594,249.74321
2023-04-25,244.50772094726562,250.2716
2023-04-26,243.48007202148438,249.81216
2023-04-27,243.61297607421875,248.04619
2023-04-28,244.543212890625,247.75882
2023-05-02,244.1799774169922,249.12692
2023-05-03,242.83335876464844,248.7796
2023-05-04,242.6030731201172,246.05685
2023-05-05,242.59417724609375,245.74713
2023-05-08,243.17001342773438,245.16797
2023-05-09,241.06158447265628,246.85532
2023-05-10,241.77032470703125,245.81401
2023-05-11,240.5655059814453,246.11214
2023-05-12,239.5910186767578,246.38774
2023-05-15,239.6973419189453,246.64952
2023-05-16,238.0849609375,246.11821
2023-05-17,242.47903442382812,245.67355
2023-05-19,241.97410583496094,245.45865
2023-05-22,243.64840698242188,245.70958
2023-05-23,243.43582153320312,246.82184
2023-05-24,242.75364685058594,246.97589
2023-05-25,243.63070678710938,246.00565
2023-05-26,245.1646270751953,246.42787
2023-05-30,244.05477905273438,246.39299
2023-05-31,248.29559326171875,247.47336
2023-06-01,246.59024047851562,247.3267
2023-06-02,245.45333862304688,246.61343
2023-06-05,245.227783203125,247.17165
2023-06-06,245.90451049804688,247.32555
2023-06-07,244.3886260986328,246.67538
2023-06-08,242.872802734375,246.62746
2023-06-09,242.1148223876953,243.3708
2023-06-12,243.69383239746094,243.39572
2023-06-13,243.05320739746094,244.31409
2023-06-14,241.73583984375,243.88432
2023-06-15,240.65310668945312,241.03316
2023-06-16,240.6350555419922,243.12804
2023-06-19,237.93719482421875,243.32971
2023-06-20,237.43190002441406,244.82079
2023-06-21,236.16867065429688,245.42043
2023-06-22,237.84695434570312,245.15005
2023-06-23,237.53109741210938,245.54796
2023-06-26,237.93719482421875,245.81429
2023-06-27,237.33262634277344,246.04323
2023-06-28,236.57469177246094,245.35074
2023-06-30,240.5447998046875,244.74681
2023-07-07,243.71189880371094,246.2322
2023-07-10,243.65777587890625,247.60197
2023-07-14,238.7763214111328,247.38318
2023-07-17,241.02304077148438,247.21164
2023-07-19,240.1839141845703,246.6622
2023-07-20,238.3432159423828,247.19786
2023-07-21,239.2274627685547,246.09259
2023-07-24,239.17333984375,247.14435
2023-07-26,239.29966735839844,247.00606
2023-07-28,239.20040893554688,245.93762
2023-08-03,226.51402282714844,246.45944
2023-08-04,222.91383361816406,239.95784
2023-08-07,223.73492431640625,240.30176
2023-08-08,225.63877868652344,239.77151
2023-08-09,226.0628662109375,239.28506
2023-08-10,226.84786987304688,239.49504
2023-08-11,225.8011932373047,239.89911
2023-08-14,224.42066955566406,240.1539
2023-08-16,226.79373168945312,240.25365
2023-08-17,226.1350555419922,238.65361
2023-08-18,232.92938232421875,238.65924
2023-08-21,222.19200134277344,243.1584
2023-08-22,225.94557189941406,239.5748
2023-08-23,228.06243896484375,239.55554
2023-08-24,227.97994995117188,238.91876
2023-08-25,227.01771545410156,238.15625
2023-08-28,227.21934509277344,238.08875
2023-08-29,228.48399353027344,237.82289
2023-08-30,226.91693115234375,238.56613
2023-08-31,227.10939025878906,236.6834
2023-09-01,226.59620666503906,238.47101
2023-09-04,226.74281311035156,237.85515
2023-09-05,226.96275329589844,238.41553
2023-09-06,226.82530212402344,238.80585
2023-09-07,224.9100341796875,238.88547
2023-09-08,224.8275604248047,238.49179
2023-09-11,226.27545166015625,239.62172
2023-09-12,224.5984649658203,238.59677
2023-09-13,223.98448181152344,238.58565
2023-09-14,222.72901916503906,238.10054
2023-09-15,219.44834899902344,238.13162
2023-09-18,223.98448181152344,233.94983
2023-09-20,218.52279663085938,237.2306
2023-09-21,217.75302124023438,232.76054
2023-09-22,223.08642578125,233.2961
2023-09-25,221.04287719726562,236.25342
2023-09-26,220.56634521484375,235.86777
2023-09-27,221.06118774414062,235.91759
2023-09-28,220.91458129882812,235.78581
2023-09-29,223.70957946777344,235.84113
2023-10-03,219.9431915283203,236.03246
2023-10-04,219.75991821289062,234.55806
2023-10-05,219.54916381835938,234.27028
2023-10-06,219.00848388671875,230.76666
2023-10-09,219.01763916015625,229.52765
2023-10-10,219.7782440185547,229.26576
2023-10-11,218.2661895751953,236.2329
2023-10-12,218.7610626220703,232.42249
2023-10-13,221.0245361328125,232.49681
2023-10-16,221.29946899414062,236.19318
2023-10-17,222.6282196044922,235.7971
2023-10-18,221.76683044433594,235.83029
2023-10-19,219.75076293945312,235.83542
2023-10-20,219.84239196777344,234.65901
2023-10-23,219.02679443359375,233.04567
2023-10-25,218.75189208984375,228.79877
2023-10-26,217.6247100830078,229.96751
2023-10-27,220.1173095703125,230.38359
2023-10-30,219.20091247558594,230.88965
2023-10-31,223.223876953125,227.04239
2023-11-01,220.777099609375,233.77008
2023-11-02,222.6282196044922,233.65858
2023-11-03,221.80345153808594,233.65858
2023-11-06,224.28689575195312,233.77008
2023-11-07,221.9317626953125,233.78598
2023-11-08,225.23077392578125,232.59781
2023-11-09,227.30181884765625,231.63643
2023-11-10,228.1815643310547,231.76382
2023-11-13,225.71878051757815,232.69719
