Date,Open,High,Low,Close,Volume,logReturns
2020-08-10,237.14403900000488,241.110703711461,233.35627142008084,233.7918243408203,149200,-0.010853134258422995
2020-08-11,234.96629333496097,236.32740225594284,234.2662992084843,234.96629333496094,62400,0.005010991415114949
2020-08-12,236.44411501161213,236.44411501161213,233.4574553545056,233.6363525390625,415200,-0.005676213646812198
2020-08-13,232.16634583994545,234.88856430038032,232.16634583994545,234.3363494873047,30800,0.002991616678830721
2020-08-14,234.04075716212392,235.76742214590965,233.17741280230211,233.54296875,744600,-0.0033913937496502945
2020-08-17,233.3329776150553,234.1107542071055,232.74964517101768,233.54296875,56600,0.0
2020-08-18,233.3407913443661,234.88855935523807,233.3330059820246,234.44522094726562,26600,0.003855880703851224
2020-08-19,233.60520196725818,238.7540791603549,233.60520196725818,237.6340789794922,22200,0.01351004602600246
2020-08-20,235.3473971478759,240.25516514879223,235.3473971478759,239.7574005126953,26000,0.008895573658738753
2020-08-21,239.64853020905772,246.08851972300212,239.64853020905772,243.8640899658203,22800,0.016983480859136146
2020-08-24,244.99965287784684,245.76964419141615,241.88854617463608,244.11297607421875,25000,0.0010200730620381635
2020-08-25,241.507432977847,244.22186586604232,241.507432977847,244.00408935546875,11200,-0.000446150025344034
2020-08-26,244.22181592932756,245.73070420686759,243.4440394454762,244.58737182617188,13200,0.002387609256963121
2020-08-27,244.30735232460242,245.30292897928103,244.22180830725878,245.0851287841797,6800,0.002033020554882284
2020-08-28,245.77741873731767,245.77741873731767,242.86075633141596,244.8829803466797,22200,-0.0008251494136152372
2020-08-31,244.99958476683605,245.7773612264133,242.66625538810428,245.0851287841797,23800,0.0008251494136153657
2020-09-01,242.2774156358507,244.9996337890625,242.2774156358507,244.9996337890625,9600,-0.00034889881307700155
2020-09-02,244.99961998439997,245.34962893586345,243.44406684164187,244.84405517578125,24000,-0.0006352174051333861
2020-09-03,244.22185198811437,244.22185198811437,238.77741579729653,240.4496307373047,181200,-0.018110866392561688
2020-09-04,238.77744871602602,240.62856107384246,237.206348314987,238.66854858398438,20000,-0.0074348686175198
2020-09-07,239.00297503342543,239.32186628369013,237.2218599959403,237.61074829101562,8800,-0.004441940009494189
2020-09-08,237.22181304890208,238.7773659213539,235.66626017645024,236.8873748779297,12600,-0.003049006679540432
2020-09-09,236.92629421223566,237.33851484360792,235.58851756659905,236.44407653808594,5400,-0.0018730995716721968
2020-09-10,236.4440457975627,237.6107104972217,235.66626933112335,236.3118133544922,108200,-0.0005595411495544536
2020-09-11,236.44408628536863,236.44408628536863,234.88853308612278,235.04409790039062,19400,-0.0053790287996733155
