Date,Open,High,Low,Close,Volume,logReturns
2023-11-21,122.20415949669415,122.20415949669415,117.91789698403024,119.44088745117188,10713,-0.00965016013332541
2023-11-22,121.9031957947167,121.9031957947167,114.96309399843251,117.44365692138672,30195,-0.016862880286371024
2023-11-23,115.36437331643702,119.96070269962883,115.36437331643702,118.57451629638672,12237,0.009582889432937631
2023-11-24,119.92421727187761,120.36195956783934,119.03048935891253,119.4226303100586,10060,0.007127124134229556
2023-11-28,121.74816363324787,122.15854791855912,119.42263412904794,121.15538787841797,8030,0.014405202478540999
2023-11-29,125.30483896804442,125.30483896804442,118.9210404837655,119.45911407470703,16695,-0.014099747869390536
2023-11-30,120.88179013272595,121.74816002393827,118.46505800762385,120.26164245605469,7179,0.006695551867094578
2023-12-01,122.56892941373404,122.93372626004431,118.7386529787255,121.79376220703125,39419,0.012659417496770712
2023-12-04,121.21923418983621,123.11613633057681,121.21923418983621,122.83342742919922,55792,0.008500048448652348
2023-12-05,124.75768765756183,124.75768765756183,122.61454934677656,122.95198822021484,13172,0.0009647504909773758
2023-12-06,123.1161202384827,123.52650452282889,121.2830630134286,121.3012924194336,4786,-0.013516468868119805
2023-12-07,124.02808255170245,124.02808255170245,122.1129374754825,122.15853881835938,10700,0.007042228998095718
2023-12-08,123.11612300837416,123.19819708397449,122.07647630403764,122.88813018798828,14231,0.005954731222889927
2023-12-11,123.11612855113346,124.57528823352625,122.16768449848277,122.59629821777344,15864,-0.00237760178588113
2023-12-12,122.20415141696212,123.10700799300872,122.11294872280806,122.55070495605469,2313,-0.00037196671102769164
2023-12-13,124.48408504166814,125.39605636065473,122.98845263515327,123.26204681396484,37400,0.005787688705802151
2023-12-14,125.4416624144261,125.4416624144261,122.35919478765814,123.06141662597656,7669,-0.0016289981437664135
2023-12-15,124.02809498478396,124.0736963322321,120.57172993122386,123.6815414428711,46966,0.005026495000321585
2023-12-18,123.93689375695443,123.98249510494236,117.87229019515618,119.1125717163086,26912,-0.03764102115234191
2023-12-19,120.83619397749358,123.11612216574817,119.78743257712739,122.47774505615234,3652,0.02786031370626088
2023-12-20,122.3865402622028,122.66013442321386,119.65975510181221,120.58084106445312,12283,-0.015608932275123742
2023-12-21,118.60186889691994,126.58161767428086,118.60186889691994,122.91548919677734,3292,0.019176631329872008
2023-12-22,125.37779363356657,126.76399372024996,123.03403494260814,124.75765991210938,27550,0.014876095323684996
2023-12-26,126.7640183287886,126.7640183287886,120.90916390030678,122.05824279785156,7786,-0.021874804051143313
2023-12-27,124.3928881656053,125.85204791050933,122.43215530424548,123.92778778076172,7853,0.015200708566275787
2023-12-28,125.76081853128794,125.76081853128794,123.11610770968062,123.38970184326172,8370,-0.004351384832122658
2023-12-29,119.74182192360561,124.84885231901802,119.74182192360561,124.02808380126953,9128,0.005160367699419389
2024-01-01,124.94005239454398,124.94005239454398,123.25290013539458,123.78184509277344,7953,-0.0019873198030209748
2024-01-02,125.82467606604217,125.82467606604217,122.33182446452685,123.64506530761719,4160,-0.001105617807441487
2024-01-03,124.94007163022076,126.72754155158047,122.20415765291665,123.17084503173828,4657,-0.0038427089953081335
2024-01-04,123.1799653032533,123.48090357465391,121.52928562639153,121.75727844238281,4190,-0.011542833580876587
2024-01-05,122.20415941864695,124.0281020965372,122.20415941864695,122.38655090332031,4718,0.0051549437568673695
2024-01-08,123.11612894631737,124.33816718278652,108.29659490648288,123.7909927368164,20553,0.01141011523475918
2024-01-09,124.75767847926369,124.94006995886178,122.20415601815678,122.3500747680664,18955,-0.011708200046739657
2024-01-10,122.35006830094324,123.79098457008728,122.35006830094324,123.0978775024414,3295,0.006093389993642397
2024-01-11,124.01898203208547,124.43848103714372,122.66013978618446,122.89724731445312,3032,-0.0016311724276871986
2024-01-12,123.93690062947029,123.93690062947029,121.93056644694548,122.14944458007812,9844,-0.006103367892583154
2024-01-15,122.20414636462075,123.11611760614778,118.98488899527652,119.44998931884766,8606,-0.02234746630934144
2024-01-16,119.51383282770843,122.35006391801089,119.51383282770843,120.30724334716797,2162,0.00715104751531978
2024-01-17,119.46824035489585,126.21682241176575,118.5562690544768,118.94841003417969,13980,-0.011358961881623374
2024-01-19,121.83937788346938,121.83937788346938,119.1034638344296,119.92423248291016,8398,0.008170277405845089
2024-01-23,120.18868472832678,120.18868472832678,116.73231981903876,118.37387084960938,21495,-0.013012134688425853
2024-01-24,119.65062349903941,121.29217450858675,117.64428956096009,118.27355194091797,97419,-0.0008478344155854296
2024-01-25,116.73231787629278,120.26164209659929,116.18513652780533,118.31915283203125,3941,0.0003854801163180839
2024-01-29,118.31915598103227,118.55626349842137,116.75056430457622,117.51661682128906,6706,-0.006805915063186817
2024-01-30,117.64430328649945,118.31003847075104,115.82036059988707,117.5531005859375,10974,0.0003104080384643224
2024-01-31,117.55309616384436,117.59869751240991,114.90838493397604,115.64707946777344,6733,-0.016347016217861745
2024-02-01,118.28266120417871,118.5562553457842,114.77157349511117,117.56221008300781,160461,0.01642450582965232
2024-02-02,116.00274536230565,118.2826735884342,116.00274536230565,117.48014831542969,2679,-0.0006982721878016258
2024-02-05,117.55309822889275,118.55627225264638,115.8203582775853,117.66254425048828,46107,0.001551364149570073
2024-02-06,118.55626410672427,118.55626410672427,116.73232158200544,117.70813751220703,12139,0.0003874166650457213
2024-02-07,118.55627458519069,122.2041599570427,117.64430324222768,118.17324829101562,67258,0.0039436039432163734
2024-02-08,118.55626625694688,118.55626625694688,117.64429497804728,118.48330688476562,20964,0.0026203269199773335
2024-02-09,118.73865550143414,118.73865550143414,115.28229054211876,117.5895767211914,10571,-0.00757168226813807
2024-02-12,119.46823827721238,119.46823827721238,115.65619802944474,116.25810241699219,13698,-0.01138765796381539
2024-02-13,117.63518622398392,121.10979474581899,116.09395245820703,117.66254425048828,16186,0.012007992703714136
2024-02-14,120.33036045778984,120.33036045778984,118.1349610726164,119.61709594726562,3188,0.016475041051028618
2024-02-15,120.79352334208332,120.79352334208332,118.15348920296759,119.49666595458984,6486,-0.001007302983323553
2024-02-16,120.42300306440936,120.42300306440936,116.86589621236995,119.5429916381836,13458,0.0003875983143571099
2024-02-19,121.71985408591735,121.71985408591735,117.94043002225497,119.49666595458984,6455,-0.00038759831435702935
2024-02-20,119.49667110045989,120.19141918825326,119.00571691586079,119.29287719726562,3688,-0.001706848667740739
2024-02-21,120.33036153810949,120.42300026911391,117.64400795521128,117.782958984375,2925,-0.012738022173952068
2024-02-22,119.37623841537571,120.08951704572382,117.41242176186631,119.41329956054688,3235,0.013746981180649714
2024-02-23,119.4133046905082,120.19141915630529,118.61665965132944,119.12614440917969,6340,-0.0024076126388042993
2024-02-26,120.00615069063565,123.94305635193027,119.15392810247059,119.49666595458984,394278,0.0031055022998475036
2024-02-27,118.61666493697791,122.27566886782785,118.57034556880276,118.62592315673828,13405,-0.007313431977741756
2024-02-28,119.49666208828094,119.49666208828094,119.12613545660987,119.4874038696289,10358,0.0072359198241292895
2024-02-29,119.5059189740268,122.16449770474597,114.5500581909477,116.14334106445312,19019,-0.028385831776726028
2024-03-01,116.80104765730074,120.41374627288565,116.02293317444357,118.95014190673828,10622,0.023879302652687957
2024-03-04,119.25582676782616,119.5615176138578,116.75472948303477,117.2827377319336,25711,-0.014116848323905608
2024-03-05,119.49666808778741,119.49666808778741,117.64400656704652,118.37580871582031,8761,0.009276801876330922
2024-03-06,119.49667310060319,119.49667310060319,116.14335306314894,116.38420104980469,6959,-0.016967587022999275
2024-03-07,118.38508872620697,118.38508872620697,115.99515337104513,116.18968200683594,7610,-0.0016727509191415521
2024-03-11,117.44947605978098,123.64662394084235,97.93168753649223,118.25538635253906,61825,0.01762253153126395
2024-03-12,117.91264526697466,117.91264526697466,114.12394871998465,115.55049896240234,12928,-0.023138922022124312
2024-03-13,113.93867797893589,116.25450476712564,112.54918190602203,114.85574340820312,21565,-0.0060307190700499575
2024-03-14,113.01235877337143,118.38508029609194,111.67844014597196,113.68858337402344,9607,-0.01021395015637502
2024-03-15,112.08602040991231,119.00571222219165,112.08602040991231,117.09747314453125,24345,0.02954370612270845
2024-03-18,118.57033485443496,118.57033485443496,116.43977132308225,117.85706329345703,6084,0.006465870434500932
2024-03-19,117.8570698517081,117.8570698517081,113.91089869639013,117.0604248046875,5303,-0.006782309388534687
2024-03-20,117.18083777197889,118.33875118869804,116.34713869847256,116.44903564453125,2201,-0.005236537792270472
2024-03-21,118.57034075555438,118.57034075555438,116.96778538414915,117.44021606445312,4283,0.008475689637872253
2024-03-22,117.64401558713391,118.57034641852866,117.11600729593263,117.8663330078125,2890,0.0036218066249137037
2024-03-26,118.47770832837206,119.47814020088252,116.71767843063203,117.96822357177734,10503,0.0008640851602264005
2024-03-27,115.93029623469211,120.19141632484022,115.93029623469211,117.7644271850586,8367,-0.0017290471798199199
2024-03-28,118.57034569842335,119.20951622975379,117.19011474688378,118.16275787353516,8526,0.0033767288569818226
2024-04-01,119.49667232829331,120.33036438833717,115.79134915532298,119.31140899658203,10246,0.009673979248343146
2024-04-02,117.30125937463153,121.29374968046682,117.30125937463153,120.4229965209961,37478,0.009273558280269028
2024-04-03,120.42300416464433,121.26596858612155,120.34889600438065,120.5063705444336,10968,0.0006921034806265579
2024-04-04,118.1071668217628,122.99819189348923,118.1071668217628,122.8499755859375,1362,0.019261281114572395
2024-04-05,120.72869053264726,124.77675146044507,120.72869053264726,123.19273376464844,16395,0.0027861699405296214
2024-04-08,123.20200510251898,124.48034621991573,120.65459522257969,122.3127212524414,10591,-0.007169016111251305
2024-04-09,122.31270925361787,124.84160244514004,122.31270925361787,124.70264434814453,7484,0.019351004074159715
2024-04-10,124.70265224434814,125.09170949813617,123.47063054000934,123.77632141113281,6069,-0.007455981036429318
2024-04-12,122.36830977555871,124.59149814054875,120.65459206547565,124.0912857055664,5942,0.0025413927024867914
2024-04-15,124.0912794307382,124.19317638350444,120.37668389918505,123.73001098632812,5563,-0.002915608787356533
2024-04-16,125.70310280851744,125.70310280851744,123.25758974916214,123.68370819091797,2937,-0.0003742944902546863
2024-04-18,127.833644980334,127.833644980334,119.95983351415401,121.006591796875,9236,-0.021882544755373955
2024-04-19,123.10934845083997,123.48914744273503,121.11774303379507,121.54386138916016,2419,0.004430174950836833
2024-04-22,123.66515096750985,124.51737353269677,122.9796611470685,123.69293975830078,2954,0.017527005526733638
2024-04-23,123.69295109234629,125.0546585046159,123.69295109234629,123.91527557373047,2008,0.0017958683227608761
2024-04-24,123.91526841445723,124.89717674813929,121.46048344556657,122.08112335205078,2906,-0.014912301309784128
2024-04-25,121.58092272688555,125.98099421604903,121.58092272688555,124.95276641845703,9859,0.023250027976049983
2024-04-26,124.9527642408423,125.79572868271612,122.66472597557713,123.42432403564453,6445,-0.012307589831214227
2024-04-29,121.90513814929433,124.51738363844508,121.90513814929433,124.04496002197266,14213,0.0050158733024609535
2024-04-30,125.61046941476941,125.98099610237213,121.81250726074953,122.88705444335938,4787,-0.009378403752312487
2024-05-02,125.05466127449412,125.05466127449412,122.37756575778316,123.27610778808594,7575,0.003160941427116502
2024-05-03,123.81339043593943,124.1190813265086,122.72031263317503,123.08158111572266,1032,-0.0015792217702400506
2024-05-06,124.83233011736793,124.83233011736793,115.07807525732568,118.64444732666016,10577,-0.036716213592669224
2024-05-07,117.79222389225694,123.57251884039255,117.79222389225694,122.74808502197266,12439,0.034002982894528064
2024-05-08,124.86940074168466,124.86940074168466,121.82176434599647,122.72030639648438,2725,-0.00022633158954880927
2024-05-09,123.9893851725527,126.01803778313591,120.60826921887434,123.40579223632812,8862,0.005570214748034129
2024-05-10,123.10935458041108,123.98938012610242,121.73838898848625,123.22978210449219,10815,-0.00142728932909495
2024-05-13,121.35859903128126,123.37800762535403,121.22891327824445,122.00704193115234,3112,-0.009971995932039825
2024-05-14,122.12744897781849,122.56282558351728,121.831030472588,122.3590316772461,4463,0.0028808417169669887
2024-05-15,123.84116653426918,123.84116653426918,121.34933442835096,122.50724792480469,6234,0.0012105894360033035
2024-05-16,125.8883418851606,125.8883418851606,121.9051310117621,122.2756576538086,1727,-0.0018922100752797354
2024-05-17,122.36131824978078,124.38498046057164,120.99652180328022,121.62715148925781,7960,-0.0053177550111975095
2024-05-21,122.36130983589284,125.1850323705673,119.58465221590207,119.88584899902344,6805,-0.01442019817389697
2024-05-22,121.36360350786836,121.36360350786836,113.63601660836686,115.3114242553711,39401,-0.03890352646660482
2024-05-23,117.89042086501445,118.08808058916415,115.77262887342737,116.89270782470703,32080,0.013619981691261487
2024-05-24,117.83394601447934,118.3045664462891,116.4879712922595,117.2597885131836,3260,0.0031354010308709463
2024-05-27,119.50935273090896,119.50935273090896,116.71386623737679,117.7774658203125,3391,0.004405073108173378
2024-05-28,118.9728484365201,118.9728484365201,116.71386889269985,117.41038513183594,11595,-0.0031215982039157937
2024-05-29,117.65511027856645,117.65511027856645,116.9585940364248,117.42921447753906,78162,0.0001603592049620319
