Date,Forecasted
2025-03-01,660.1209855037991
2025-03-02,658.9943041115214
2025-03-03,657.9665445793814
2025-03-04,657.1464611666322
2025-03-05,656.3760957816932
2025-03-06,655.4788950391011
2025-03-07,654.3167477267732
2025-03-08,652.8976459772979
2025-03-09,651.5737844681314
2025-03-10,650.2567432128478
2025-03-11,649.1994223074746
2025-03-12,648.6289048792512
2025-03-13,648.1495909965729
2025-03-14,648.0285702944011
2025-03-15,648.1984245763041
2025-03-16,648.6989088306015
2025-03-17,649.5406573994891
2025-03-18,650.6321938462107
2025-03-19,651.7413212879715
2025-03-20,652.7305962741696
2025-03-21,653.6306838828244
2025-03-22,654.4688140252578
2025-03-23,654.8976866727511
2025-03-24,654.8934856913838
2025-03-25,654.5335002928123
2025-03-26,653.9964101607038
2025-03-27,653.8199284363618
2025-03-28,653.7066268073937
2025-03-29,653.7637308922981
2025-03-30,653.8567764494812
