Date,Forecasted
2025-03-01,1591.6539937779764
2025-03-02,1595.7419693816125
2025-03-03,1599.5811078243992
2025-03-04,1602.3942462185203
2025-03-05,1604.2862887627898
2025-03-06,1605.584856640427
2025-03-07,1607.6436141036143
2025-03-08,1609.1763553910034
2025-03-09,1610.6107379009961
2025-03-10,1611.9347273487062
2025-03-11,1612.46720005909
2025-03-12,1613.3708531033872
2025-03-13,1613.6740945708573
2025-03-14,1613.862574891772
2025-03-15,1613.8526148294218
2025-03-16,1613.9528824733516
2025-03-17,1614.3485935412514
2025-03-18,1615.0657338429696
2025-03-19,1616.5170759783173
2025-03-20,1618.1310532466516
2025-03-21,1620.2848651566194
2025-03-22,1622.9090407237518
2025-03-23,1625.0187753317523
2025-03-24,1625.838897760703
2025-03-25,1626.8076534825402
2025-03-26,1627.6649830197869
2025-03-27,1629.5953885107635
2025-03-28,1631.6209790811372
2025-03-29,1632.916325498428
2025-03-30,1633.4925061988274
