Date,Forecasted
2025-03-01,1564.1204089897046
2025-03-02,1567.7413922742558
2025-03-03,1571.9301486259817
2025-03-04,1577.2243204817287
2025-03-05,1584.149310750869
2025-03-06,1591.678797638229
2025-03-07,1599.9404319304454
2025-03-08,1607.1490450036806
2025-03-09,1612.7745680571518
2025-03-10,1617.5291114729378
2025-03-11,1623.0198068408504
2025-03-12,1627.369598855339
2025-03-13,1629.3348008759467
2025-03-14,1630.0018618777503
2025-03-15,1629.5376510929993
2025-03-16,1628.7322811634665
2025-03-17,1629.45441698843
2025-03-18,1630.0900417134992
2025-03-19,1632.1887118656368
2025-03-20,1636.232458069736
2025-03-21,1641.891338696452
2025-03-22,1647.8281336911446
2025-03-23,1651.6319215995711
2025-03-24,1653.464882823823
2025-03-25,1652.8660490310272
2025-03-26,1653.071000981081
2025-03-27,1655.6586502566781
2025-03-28,1659.0001564300924
2025-03-29,1661.4376423290282
2025-03-30,1664.4381595913524
