Date,Forecasted
2025-03-01,1197.6284966340932
2025-03-02,1195.3225012676069
2025-03-03,1192.7148202848502
2025-03-04,1190.0324247495967
2025-03-05,1187.2920216039831
2025-03-06,1184.9153893622818
2025-03-07,1182.6262095864179
2025-03-08,1180.4683668562423
2025-03-09,1178.2598188971333
2025-03-10,1175.8780850725755
2025-03-11,1173.4720974615227
2025-03-12,1171.1251097896197
2025-03-13,1168.5828852067805
2025-03-14,1165.7547108591389
2025-03-15,1162.9352614609263
2025-03-16,1160.218649657714
2025-03-17,1157.6858724652177
2025-03-18,1155.37175094867
2025-03-19,1153.0461401995394
2025-03-20,1151.1349692889212
2025-03-21,1149.2684341963572
2025-03-22,1147.554483533079
2025-03-23,1145.7456737706882
2025-03-24,1143.9790734077253
2025-03-25,1142.3210513634099
2025-03-26,1140.562047165281
2025-03-27,1138.9331935825662
2025-03-28,1137.549054064584
2025-03-29,1136.242869020217
2025-03-30,1134.7436030527713
